week,newton,kansas_city
1,-0.55,-0.04
2,-0.55,-0.04
3,-0.52,-0.04
4,-0.52,-0.03
5,-0.48,-0.02
6,-0.43,0.02
7,-0.43,0.05
8,-0.4,0.05
9,-0.48,0.01
10,-0.46,-0.01
11,-0.43,0.03
12,-0.43,0.02
13,-0.43,0.07
14,-0.38,0.1
15,-0.38,0.14
16,-0.38,0.13
17,-0.41,0.1
18,-0.42,0.09
19,-0.43,0.1
20,-0.37,-0.03
21,-0.4,-0.02
22,-0.4,0
23,-0.4,0.03
24,-0.4,0.15
25,-0.43,0.15
26,-0.4,0.15
27,-0.4,0.2
28,-0.4,0.2
29,-0.4,0.12
30,-0.4,0.12
31,-0.4,0.12
32,-0.38,0.2
33,-0.38,0.11
34,-0.37,0.1
35,-0.47,0.04
36,-0.39,-0.05
37,-0.39,-0.1
38,-0.55,-0.08
39,-0.45,-0.05
40,-0.45,0.01
41,-0.32,0.06
42,-0.27,0.1
43,-0.27,0.13
44,-0.27,0.13
45,-0.3,0.07
46,-0.3,0.07
47,-0.3,0.07
48,-0.31,0.1
