march,may,july,sept,dec
"Jan 1, 2019","Mar 4, 2019","May 14, 2019","Jul 9, 2019","Sept 4, 2019"
40,47,44,45,25
38,47,45,45,28
38,47,45,50,26
41,47,49,56,33
35,47,49,52,33
38,47,50,52,33
38,47,50,52,32
36,47,50,54,31
36,47,50,52,33
36,47,50,52,32
41,47,67,52,32
41,47,69,52,32
41,47,69,54,32
41,47,45,54,32
41,47,45,54,28
41,47,45,54,28
47,47,45,44,28
47,47,58,43,21
47,47,58,42,28
47,47,58,38,28
47,46,58,38,28
47,46,58,38,32
47,46,58,40,32
47,46,58,40,33
47,46,60,40,26
47,46,60,34,28
47,46,60,33,28
47,46,60,33,28
47,46,60,32,33
47,46,60,32,33
47,46,60,30,33
47,46,60,30,33
47,46,60,30,33
58,46,46,34,33
58,46,46,38,33
58,46,46,38,33
58,46,46,38,33
58,46,,35,33
47,46,,36,33
,46,,,33
,46,,,33
,46,,,42
,46,,,42
,46,,,42
,46,,,42
,46,,,42
,46,,,42
,46,,,42
,46,,,42
