Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
RSH15,1/1/2015,441,473.9,437.6,455.3,15.5,3.52%,22193,197239
RSK15,4/1/2015,454.9,537.1,439.8,536.1,80.8,17.75%,19821,160497
RSX15,7/1/2015,530.9,539.4,454,476,-60.1,-11.21%,18058,175763
RSX15,10/1/2015,476,494.4,457,486.5,10.5,2.21%,24428,180466
RSH16,1/1/2016,485.8,490,435.5,476.2,-10.3,-2.12%,23382,179031
RSK16,4/1/2016,475.6,544.6,474.5,495.7,19.5,4.09%,26046,168025
RSX16,7/1/2016,492,497.6,442.2,463.6,-32.1,-6.48%,17936,175252
RSX16,10/1/2016,463.2,534,460.7,504,40.4,8.71%,28165,203573
RSH17,1/1/2017,504,537.9,479.1,484.4,-19.6,-3.89%,22539,182983
RSK17,4/1/2017,483.2,530,472.1,498,13.6,2.81%,20781,181594
RSX17,7/1/2017,505.1,532.5,482.5,492.4,-5.6,-1.12%,15913,141595
RSX17,10/1/2017,492.4,522.5,485,488.7,-3.7,-0.75%,23411,183248
RSH18,1/1/2018,489.1,531,487,522.7,34,6.96%,18918,178531
RSK18,4/1/2018,522.8,540,500,509.4,-13.3,-2.54%,19172,209093
RSX18,7/1/2018,508,512.9,483.5,497.3,-12.1,-2.38%,12299,174718
RSX18,10/1/2018,495.8,506,471,484.2,-13.1,-2.63%,21544,160628
RSH19,1/1/2019,483,490.3,448.4,455.3,-28.9,-5.97%,20968,180812
RSK19,4/1/2019,455.2,477.7,427.5,455.9,0.6,0.13%,23324,181054
RSX19,7/1/2019,454.4,456,437,451.3,-4.6,-1.01%,15985,164953
RSX19,10/1/2019,451.3,480.7,450.7,478.1,26.8,5.94%,28718,185219
RSH20,1/1/2020,477.9,485,444.3,477.7,-0.4,-0.08%,24374,184752
RSN20,4/1/2020,477.8,480.1,455,463.7,-14,-2.93%,19050,174561
RSX20,7/1/2020,476.5,534.2,474.4,520.4,56.7,12.23%,23476,197943
RSX20,10/1/2020,520.1,637.3,512.7,637,116.6,22.41%,30386,213580
RSH21,1/1/2021,637.9,761.1,633.8,717.7,80.7,12.67%,28292,212987
RSN21,4/1/2021,723,1008,695,839.5,121.8,16.97%,21011,196080
RSX21,7/1/2021,814,949,762,893.5,54,6.43%,20014,207046
RSX21,10/1/2021,893.4,1100.7,885.7,1012.8,119.3,13.35%,22177,194746
RSF22,1/1/2022,1012.8,1177.8,958.7,1107.3,94.5,9.33%,21848,173561
RSN22,4/1/2022,1099.9,1219,849.9,913,-194.3,-17.55%,19885,141774
RSN22,7/1/2022,913,913,766,852,-61,-6.68%,24825,164503
RSX22,10/1/2022,840.8,911.9,803.5,865.8,13.8,1.62%,31363,227754
RSH23,1/1/2023,863,880,715,749.5,-116.3,-13.43%,30431,241397
RSN23,4/1/2023,751.2,770.4,641.9,746.9,-2.6,-0.35%,31382,227670
RSN23,7/1/2023,746.9,854.8,705.7,707,-39.9,-5.34%,29405,257422
RSX23,10/1/2023,707,731.2,639.5,653.4,-53.6,-7.58%,39344,276101
RSH24,1/1/2024,651.9,659.7,575,626.4,-27,-4.13%,46551,287646
RSK24,4/1/2024,629.2,675.5,579.2,597.9,-28.5,-4.55%,48422,254211
RSN24,7/1/2024,597.9,681,538.8,596.2,-1.7,-0.28%,44791,290766
