Year,Province,tonnes
2015,British Columbia,70800
2016,British Columbia,81600
2017,British Columbia,90600
2018,British Columbia,123900
2019,British Columbia,72000
2020,British Columbia,55900
2021,British Columbia,66537
2022,British Columbia,68975
2023,British Columbia,82269
2024,British Columbia,74633
2015,Alberta,5851300
2016,Alberta,6157500
2017,Alberta,6826600
2018,Alberta,5870600
2019,Alberta,5320100
2020,Alberta,5212100
2021,Alberta,4341000
2022,Alberta,5591701
2023,Alberta,5563100
2024,Alberta,5469534
2015,Saskatchewan,9536800
2016,Saskatchewan,10682100
2017,Saskatchewan,11311000
2018,Saskatchewan,11308000
2019,Saskatchewan,11394000
2020,Saskatchewan,10967900
2021,Saskatchewan,6968814
2022,Saskatchewan,9923300
2023,Saskatchewan,10325800
2024,Saskatchewan,10283704
2015,Manitoba,2857600
2016,Manitoba,2608200
2017,Manitoba,3147900
2018,Manitoba,3318400
2019,Manitoba,3056300
2020,Manitoba,3190700
2021,Manitoba,2800089
2022,Manitoba,3162428
2023,Manitoba,3130200
2024,Manitoba,3062665
